name,cv_mean,cv_std
Lec07Xform+Ridge(α=10000),0.013842967498315751,0.02810358214644214
"Poly2+EN(α=100,l1=0.9)",0.005355045118172752,0.01231520556444443
Lec07Xform+Ridge(α=100000),0.001896652601520743,0.004581477849660072
"Poly2+EN(α=100,l1=0.5)",-0.0023130622330364225,0.008125277255168671
Poly2+Ridge(α=100000),-0.0023546143324269632,0.008339097542571552
"Poly2+EN(α=10,l1=0.1)",-0.0037920284143809326,0.027716224560477908
"Poly2+EN(α=100,l1=0.1)",-0.003896880460393981,0.008970242736554212
Poly2+Ridge(α=1e+06),-0.006073839559729155,0.010696286476349383
"Poly2+EN(α=1000,l1=0.1)",-0.0063646949012916565,0.010990364245233353
Poly2+Ridge(α=1e+07),-0.006538681993020701,0.011113956670478906
"Poly2+EN(α=1000,l1=0.5)",-0.006565504934616673,0.011110708998617836
"Poly2+EN(α=1000,l1=0.9)",-0.006591419752283434,0.011162405142737662
"Poly2+EN(α=10,l1=0.5)",-0.023352330068010897,0.07152374388631288
Poly2+Ridge(α=10000),-0.02832043893784153,0.0791379086625008
Lec07Xform+Ridge(α=1000),-0.2554208428175091,0.5402265105651904
"Poly2+EN(α=10,l1=0.9)",-0.3716985580062415,0.6950597928850005
"Poly2+EN(α=1,l1=0.1)",-0.49459530877976593,0.8952937099912912
Lec07Xform+Ridge(α=100),-0.5299915759920915,1.0480108305650353
"Poly2+EN(α=1,l1=0.5)",-0.8310835268727649,1.4605114881975831
Poly2+Ridge(α=1000),-0.8388250887240277,1.4725210599600898
Lec07Xform+Ridge(α=10),-0.8679837886269866,1.637903461315746
"Poly2+EN(α=1,l1=0.9)",-1.665303796800572,2.8356843500150326
Poly2+Ridge(α=100),-1.8893844501700443,3.1990508015404906
