name,cv_mean,cv_std,oof_r2
Winsor[1-99]+Ridge(α=10),0.015020665316226877,0.04147733986532933,0.022884779886969797
Winsor[1-99]+Ridge(α=100),0.01667486319292344,0.035899888777689994,0.02207871042812959
"kNN(k=200,distance)",0.02104853410795231,0.022606167634486224,0.01768802734908914
"kNN(k=200,uniform)",0.02043393210581814,0.022846769009353764,0.0174811654353213
Winsor[1-99]+Ridge(α=1000),0.02165706932214053,0.010996178855338051,0.016261481273433742
"kNN(k=300,distance)",0.022029267931827867,0.01700277703612587,0.015461194166803915
"kNN(k=300,uniform)",0.021388771248083673,0.016951696749176594,0.01512717071932268
"kNN(k=500,distance)",0.017538714842543324,0.014355636488275366,0.012880958006454835
"kNN(k=500,uniform)",0.016431888684781782,0.014400157752736141,0.01243440443996624
"kNN(k=800,distance)",0.015482977273398757,0.012132888916518631,0.011220199025411381
"kNN(k=800,uniform)",0.014352815122274687,0.012176238161578342,0.010777347088061107
Trim[1-99]+Ridge(α=10),0.017702016728073013,0.008143469106646217,0.01013042273947673
Trim[1-99]+Ridge(α=100),0.017271157857063856,0.008303894745312715,0.009716819961305578
"kNN(k=1200,distance)",0.010263881513186112,0.012263877613265556,0.00875875744982546
"kNN(k=1200,uniform)",0.008509691363963113,0.012929547465169182,0.008143774401704107
Winsor[2.5-97.5]+Ridge(α=10),0.0149103229203859,0.008848856853715082,0.007662754781518677
Winsor[2.5-97.5]+Ridge(α=100),0.014508879901073834,0.008870289856325684,0.007356340164308084
Trim[1-99]+Ridge(α=1000),0.01318387403230894,0.0077678917083781164,0.006888753380272172
"EN(α=100,l1=0.9)",0.01041168490450517,0.006288211654276495,0.00602492308967717
Winsor[2.5-97.5]+Ridge(α=1000),0.010892546776204192,0.007592472662529054,0.005245243657354681
"kNN(k=1800,distance)",0.006736151265540791,0.008864903921225666,0.005223064644579112
Winsor[5-95]+Ridge(α=10),0.009159173402605369,0.007198511971715513,0.0047559666584467974
Winsor[5-95]+Ridge(α=100),0.008925380613631018,0.007216733030601264,0.0045611555082623045
Winsor[1-99]+Ridge(α=10000),0.005638145112894266,0.002920933898095384,0.0043877195714397965
"kNN(k=1800,uniform)",0.004408494875879842,0.009216662832550336,0.0041800632339829
Winsor[10-90]+Ridge(α=10),0.007672448083658456,0.00670656291554924,0.0038926282344435847
Winsor[10-90]+Ridge(α=100),0.007444154252300073,0.006660467800354891,0.0037295359639796244
Trim[2.5-97.5]+Ridge(α=10),0.005954504402454064,0.00495238760461862,0.003552916524894534
Trim[2.5-97.5]+Ridge(α=100),0.005882682024634223,0.005104479369238464,0.0034024165062763734
Winsor[5-95]+Ridge(α=1000),0.006794540325657494,0.006468451933610828,0.0032221497365307883
Trim[5-95]+Ridge(α=10),0.004839767373458615,0.004362671953743875,0.0030760760924466446
Trim[5-95]+Ridge(α=100),0.004819160801576405,0.004567091666050363,0.002922074772496508
Winsor[10-90]+Ridge(α=1000),0.005494195075821673,0.0056924433967069235,0.002615214392946208
Trim[2.5-97.5]+Ridge(α=1000),0.004708732119268255,0.0050742438404968535,0.0023752245585173526
Trim[5-95]+Ridge(α=1000),0.0038277104800759298,0.004686675179522877,0.001922079709018587
Trim[1-99]+Ridge(α=10000),0.0012816518316179915,0.0017066396070760247,0.0017217609616189122
"EN(α=100,l1=0.5)",-0.0017876322878285667,0.007639511320441338,0.0013356657110962233
Winsor[2.5-97.5]+Ridge(α=10000),0.0007156339416364066,0.001574616524119705,0.0013137150536011166
"EN(α=100,l1=0.1)",-0.0035553107987727818,0.00888275361093963,0.0007488532032535744
Winsor[5-95]+Ridge(α=10000),0.0006654094254118448,0.0016494914949013427,0.0007394586413369542
"EN(α=300,l1=0.9)",-0.0026506111308180814,0.00796302500187892,0.0006745399511480787
Winsor[10-90]+Ridge(α=10000),0.00028730511907228975,0.001495229618590062,0.0005755765188085737
Trim[2.5-97.5]+Ridge(α=10000),-8.099081384371764e-06,0.0012168776158441147,0.0005168484161591769
Trim[5-95]+Ridge(α=10000),-0.00024117951256650283,0.001324506727197848,0.00034425435932494697
"EN(α=300,l1=0.5)",-0.005331500879268503,0.010173060355049973,0.0001032417443409539
"EN(α=300,l1=0.1)",-0.00560136668528437,0.010382705166626047,4.63218774765517e-05
"EN(α=1000,l1=0.1)",-0.006346802589883982,0.010970068358048682,-0.00020406928317284745
"EN(α=3000,l1=0.1)",-0.006550302763258386,0.011124796740642326,-0.00027345317490534704
"EN(α=1000,l1=0.5)",-0.006565504934616673,0.011110708998617836,-0.00028125671919498885
"EN(α=1000,l1=0.9)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=30000,l1=0.9)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=30000,l1=0.5)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=3000,l1=0.9)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=10000,l1=0.1)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=10000,l1=0.5)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=10000,l1=0.9)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=30000,l1=0.1)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
"EN(α=3000,l1=0.5)",-0.006591419752283434,0.011162405142737662,-0.00028192979005337016
