name,cv_mean,cv_std,oof_r2
HGBR-sweet leaf=15 lr=0.05,-0.167702048054941,0.38246277246932237,0.02735737717149811
HGBR-sweet shallow leaf=15,-0.15995752002553196,0.35374649703425626,0.026482272472493795
HGBR strong-reg min_samples=50,-0.3547540884636614,0.7194959707787243,0.02463613417353372
HGBR-sweet strong-reg leaf=8,-0.1654466531638913,0.38721004816354765,0.02386141423440058
HGBR-sweet lr=0.05 iter=300,-0.22124207907865506,0.4850107928881172,0.022546231503516867
HGBR-sweet lr=0.03 iter=500,-0.21648161280815953,0.46953686377572984,0.021554681122876063
HGBR-sweet default,-0.187155688523605,0.4206038041563184,0.021297629703563747
HGBR + winsor[1.0-99.0],-0.050865565269063565,0.14651793347019543,0.015997056847996793
HGBR + winsor[0.3-99.7],-0.40628038906807673,0.7999285990335228,0.010634710958356886
HGBR + winsor[2.0-98.0],0.006288028190099282,0.0125110179489032,0.008448467104490098
HGBR + winsor[5.0-95.0],0.008253918953668404,0.008383914209028513,0.0037576750814274362
HGBR loss=absolute_error,0.00473421985705238,0.00506838147085867,0.0024680423088228043
HGBR loss=absolute_error sweet,0.00473421985705238,0.00506838147085867,0.0024680423088228043
HGBR shallow leaf=15,-0.8678586570819625,1.6737763502969114,-0.001187604341183146
HGBR default,-0.8928676407954154,1.713040544051931,-0.0051692730229722095
HGBR deep leaf=63,-0.8878453045417125,1.6885267834377842,-0.00871541196437664
HGBR lr=0.03 iter=500,-0.8771464461900498,1.6532705331453321,-0.010691078662298459
HGBR lr=0.05 iter=300,-0.8909936370136335,1.6789831917086027,-0.011762299428997869
HGBR lr=0.1 iter=200,-0.8818240632162084,1.6581608319797114,-0.01729190315006557
