name,cv_mean,cv_std,oof_r2
Winsor[0.5-99.5]+Ridge(α=1),-0.02831722484220598,0.16291367393580383,0.032660067716341334
Winsor[0.5-99.5]+Ridge(α=3),-0.02814149237571535,0.16250152024981143,0.0326389074691642
Winsor[0.5-99.5]+Ridge(α=10),-0.027531730696336056,0.1610698637119085,0.03256499087143827
Winsor[0.5-99.5]+Ridge(α=30),-0.02583402591544377,0.157070795756538,0.03235504331200134
Winsor[0.5-99.5]+Ridge(α=100),-0.02037529230528796,0.1440709386400769,0.031634908876947976
"Winsor[0.5-99.5]+EN(α=1,l1=0.9)",-0.012563676825917502,0.12534747012047698,0.030633739550861572
"Winsor[0.5-99.5]+EN(α=1,l1=0.5)",0.012771259238945709,0.05583221349314702,0.024280266193575817
Winsor[1-99]+Ridge(α=1),0.014833126027809706,0.04208896190365157,0.02296842396013088
Winsor[1-99]+Ridge(α=3),0.014875176959459524,0.04195213977166052,0.0229497871155806
Winsor[1-99]+Ridge(α=10),0.015020665316226877,0.04147733986532933,0.022884779886969797
Winsor[1-99]+Ridge(α=30),0.015422199840210583,0.04015500004997197,0.02270092727831774
Winsor[1-99]+Ridge(α=100),0.01667486319292344,0.035899888777689994,0.02207871042812959
"Winsor[1-99]+EN(α=1,l1=0.9)",0.018332055006511694,0.029960552522189512,0.021162903425653856
"Winsor[0.5-99.5]+EN(α=1,l1=0.1)",0.01923172428836941,0.030169736375763548,0.019988016760200122
"Winsor[0.5-99.5]+EN(α=10,l1=0.9)",0.02044270242923254,0.021824460609566568,0.018432966072402968
Winsor[1.5-98.5]+Ridge(α=1),0.023506170529239822,0.010711483499179553,0.016676657378433712
Winsor[1.5-98.5]+Ridge(α=3),0.023506376967401967,0.01068817163100562,0.01666196367444528
Winsor[1.5-98.5]+Ridge(α=10),0.02350662654350615,0.010608302905980013,0.016610733046532156
Winsor[1.5-98.5]+Ridge(α=30),0.023503403226431963,0.010394442143477086,0.016466031325871655
"Winsor[1-99]+EN(α=1,l1=0.5)",0.02162358208849562,0.01089731957596043,0.01622165633321515
Winsor[1.5-98.5]+Ridge(α=100),0.023450455380724787,0.009796721987811516,0.01597832638402008
"Winsor[1.5-98.5]+EN(α=1,l1=0.9)",0.023289333162565585,0.009208080925457088,0.015222508404601265
"Winsor[1-99]+EN(α=1,l1=0.1)",0.020276366830017677,0.007569861578935504,0.01313659956982427
"Winsor[0.5-99.5]+kNN(k=100,distance)",0.01872861852289016,0.011632646384259687,0.013057568195028235
"Winsor[0.5-99.5]+kNN(k=100,uniform)",0.01771901182974389,0.011988576181464268,0.012766744951137166
"Winsor[0.5-99.5]+kNN(k=200,distance)",0.01851719719797169,0.009581325896548195,0.012151734165151584
"Winsor[0.5-99.5]+kNN(k=200,uniform)",0.017831872964680074,0.009597598030873906,0.011920962022016646
"Winsor[1-99]+EN(α=10,l1=0.9)",0.01875714936236128,0.00704871269035359,0.011669365870747517
"Winsor[1.5-98.5]+EN(α=1,l1=0.5)",0.020218758227291533,0.008923181945911886,0.011500108467391024
Winsor[2-98]+Ridge(α=1),0.020181480896464342,0.009279277246972865,0.011269091165702738
